vote_number,senator_number,vote
244,44,Nay
244,45,Yea
244,46,Yea
244,47,Yea
244,48,Nay
244,49,Nay
243,0,Nay
243,1,Nay
243,2,Not Voting
243,3,Nay
243,4,Yea
243,5,Yea
243,6,Nay
243,7,Yea
243,8,Nay
243,9,Yea
243,10,Yea
243,11,Nay
243,12,Nay
243,13,Yea
243,14,Nay
243,15,Nay
243,16,Yea
243,17,Nay
243,18,Nay
243,19,Yea
243,20,Yea
243,21,Nay
243,22,Yea
243,23,Nay
243,24,Yea
243,25,Nay
243,26,Nay
243,27,Yea
243,28,Nay
243,29,Nay
243,30,Yea
243,31,Yea
243,32,Yea
243,33,Yea
243,34,Nay
243,35,Yea
243,36,Not Voting
243,37,Yea
243,38,Nay
243,39,Nay
243,40,Yea
243,41,Yea
243,42,Nay
243,43,Nay
243,44,Nay
243,45,Yea
243,46,Yea
243,47,Yea
243,48,Nay
243,49,Nay
242,0,Nay
242,1,Nay
242,2,Not Voting
242,3,Nay
242,4,Yea
242,5,Yea
242,6,Nay
242,7,Yea
242,8,Nay
242,9,Yea
242,10,Yea
242,11,Nay
242,12,Nay
242,13,Yea
242,14,Nay
242,15,Nay
242,16,Nay
242,17,Nay
242,18,Nay
242,19,Yea
242,20,Yea
242,21,Nay
242,22,Yea
242,23,Nay
242,24,Yea
242,25,Nay
242,26,Nay
242,27,Yea
242,28,Nay
242,29,Nay
242,30,Yea
242,31,Yea
242,32,Yea
242,33,Yea
242,34,Nay
242,35,Nay
242,36,Not Voting
242,37,Yea
242,38,Nay
242,39,Nay
242,40,Yea
242,41,Yea
242,42,Nay
242,43,Nay
242,44,Nay
242,45,Yea
242,46,Yea
242,47,Yea
242,48,Nay
242,49,Nay
241,0,Nay
241,1,Nay
241,2,Yea
241,3,Nay
241,4,Yea
241,5,Yea
241,6,Nay
241,7,Yea
241,8,Nay
241,9,Yea
241,10,Yea
241,11,Nay
241,12,Nay
241,13,Yea
241,14,Nay
241,15,Nay
241,16,Yea
241,17,Nay
241,18,Nay
241,19,Yea
241,20,Yea
241,21,Nay
241,22,Yea
241,23,Nay
241,24,Yea
241,25,Nay
241,26,Nay
241,27,Yea
241,28,Nay
241,29,Nay
241,30,Yea
241,31,Yea
241,32,Yea
241,33,Yea
241,34,Nay
241,35,Yea
241,36,Not Voting
241,37,Yea
241,38,Nay
241,39,Nay
241,40,Yea
241,41,Yea
241,42,Nay
241,43,Nay
241,44,Nay
241,45,Yea
241,46,Yea
241,47,Yea
241,48,Nay
241,49,Nay
240,0,Nay
240,1,Nay
240,2,Yea
240,3,Nay
240,4,Yea
240,5,Yea
240,6,Nay
240,7,Yea
240,8,Nay
240,9,Yea
240,10,Yea
240,11,Nay
240,12,Nay
240,13,Yea
240,14,Nay
240,15,Nay
240,16,Nay
240,17,Nay
240,18,Nay
240,19,Yea
240,20,Yea
240,21,Nay
240,22,Yea
240,23,Nay
240,24,Yea
240,25,Nay
240,26,Nay
240,27,Yea
240,28,Nay
240,29,Nay
240,30,Nay
240,31,Yea
240,32,Yea
240,33,Yea
240,34,Nay
240,35,Nay
240,36,Not Voting
240,37,Yea
240,38,Nay
240,39,Nay
240,40,Yea
240,41,Yea
240,42,Nay
240,43,Nay
240,44,Nay
240,45,Yea
240,46,Yea
240,47,Yea
240,48,Nay
240,49,Nay
239,0,Nay
